banner_id,campaign_id
117,19
194,2
211,48
223,11
493,39
158,44
168,47
430,5
230,48
240,41
446,36
431,25
364,42
156,15
220,29
157,16
132,10
405,7
207,24
272,14
248,37
416,25
480,5
221,9
350,29
220,29
435,44
385,33
145,22
356,44
279,22
163,29
432,19
119,12
350,1
167,26
486,32
438,41
468,42
453,45
262,27
100,49
320,24
162,43
447,31
205,41
114,18
158,4
450,13
306,36
198,48
149,48
213,20
219,7
277,13
208,24
411,39
453,39
377,6
266,28
459,47
244,10
125,46
231,30
369,9
155,38
172,24
306,24
218,16
365,1
394,45
114,17
298,38
330,15
291,32
462,16
474,14
196,34
106,8
426,37
269,49
326,24
480,24
357,12
393,32
391,5
298,41
350,25
428,18
191,3
181,36
279,38
249,23
324,18
300,31
237,10
248,11
264,14
298,44
224,13
486,50
471,30
408,50
477,48
411,14
353,25
442,31
365,27
429,27
273,15
268,7
281,33
499,46
207,2
281,9
282,25
350,46
468,5
188,3
340,28
390,8
290,1
240,35
254,9
403,3
203,45
193,40
437,46
180,39
137,43
101,22
193,22
224,48
286,21
497,32
119,21
215,26
168,40
373,23
444,3
478,41
353,33
408,10
360,15
245,19
436,39
251,21
233,6
406,5
206,50
494,2
396,42
288,32
478,24
109,32
498,28
380,32
110,31
457,44
363,2
376,42
238,34
338,6
410,39
378,13
458,33
435,22
389,22
228,2
151,32
457,17
301,31
181,7
331,20
467,49
499,9
147,44
208,42
112,9
440,33
428,28
147,4
167,49
446,5
196,47
272,26
445,27
234,21
432,34
488,36
261,3
474,43
367,27
157,45
278,22
322,38
421,24
355,25
162,35
306,4
270,14
252,33
208,37
471,31
124,50
484,39
463,50
125,9
422,7
210,27
450,20
181,24
157,16
224,28
356,7
186,47
269,45
412,13
221,15
249,41
369,35
322,2
489,42
253,47
337,32
174,45
238,30
298,47
434,13
152,6
162,22
156,22
412,28
273,25
347,8
468,35
146,28
299,10
436,38
349,16
412,50
339,27
168,35
297,49
269,35
264,26
386,17
275,25
390,48
207,3
286,47
228,22
220,22
248,2
256,49
281,22
280,17
244,23
224,6
437,44
404,7
240,39
441,31
487,39
441,23
322,45
254,29
251,8
497,6
160,7
369,39
123,17
105,10
343,2
248,34
299,17
138,22
178,16
367,40
364,31
340,27
393,23
312,31
320,28
433,22
324,21
494,13
123,32
438,42
224,18
310,11
165,4
375,12
321,18
371,24
423,10
470,39
236,15
309,26
478,25
136,37
434,36
459,26
387,21
390,6
463,19
482,17
147,6
213,45
248,49
301,35
185,6
321,27
401,1
475,28
287,23
351,39
379,13
334,1
162,33
261,3
395,17
229,41
484,43
356,46
478,44
493,49
413,27
106,44
377,40
206,12
388,25
389,16
182,35
449,20
143,24
457,50
120,5
237,31
465,50
146,25
434,12
242,16
453,48
282,17
282,24
375,16
230,4
119,22
166,16
322,17
163,11
474,15
268,8
219,19
287,29
175,27
160,3
330,9
189,50
153,46
149,30
407,7
406,14
122,46
265,8
114,45
192,49
321,11
356,49
150,44
402,11
294,40
234,12
241,8
190,8
152,1
124,41
392,50
387,40
131,7
135,31
335,9
285,27
499,8
445,50
236,10
397,27
136,23
105,47
208,39
258,4
236,28
125,16
157,5
490,41
126,20
369,19
319,50
327,30
162,34
478,18
429,23
338,31
433,21
385,6
424,32
178,35
209,33
107,1
263,24
379,40
482,21
151,14
302,31
493,41
219,13
209,41
310,29
133,44
203,30
494,11
387,44
120,43
495,23
230,10
150,29
119,47
393,13
131,7
326,33
347,49
312,2
175,11
250,22
485,6
211,38
225,2
200,35
244,6
434,20
482,20
275,47
190,11
236,25
203,24
294,38
113,49
311,6
444,13
188,45
102,46
118,33
397,38
175,18
466,10
474,44
200,22
394,23
147,37
393,16
425,37
259,39
479,3
409,14
390,24
177,19
318,12
306,15
273,7
277,15
302,26
418,14
155,40
329,41
250,50
245,50
299,31
424,1
239,8
127,43
131,30
284,32
300,11
201,28
115,37
434,32
393,4
298,19
437,15
439,43
218,31
474,14
465,23
428,4
363,6
403,27
115,35
149,46
246,39
139,48
142,5
499,42
160,48
118,2
315,15
423,45
342,47
402,6
158,12
354,11
273,14
243,47
109,48
443,19
371,12
415,38
451,46
287,21
335,13
318,48
298,24
331,11
359,33
129,40
359,8
106,6
428,25
441,25
213,20
406,39
404,24
444,40
339,49
350,30
181,22
372,50
480,30
453,46
120,21
199,22
289,19
498,20
375,16
210,43
495,7
263,34
121,1
483,29
341,15
368,34
105,34
492,40
349,30
273,20
437,19
272,36
130,2
263,31
241,36
376,18
385,29
414,37
477,12
170,40
216,26
290,47
318,18
223,39
404,15
433,42
203,31
406,36
494,18
234,40
354,48
135,44
362,1
464,35
177,37
103,39
486,39
138,23
427,40
227,7
365,13
439,12
112,21
433,37
465,13
165,49
342,45
108,21
258,38
254,4
142,9
363,38
477,44
249,28
445,15
374,11
339,38
279,18
133,47
118,10
364,36
286,26
395,9
439,29
228,44
275,6
387,21
107,7
141,41
287,18
447,37
240,1
291,41
120,30
236,16
409,8
326,41
138,15
370,20
249,49
317,32
323,5
421,14
367,11
137,13
375,24
143,40
363,4
380,43
345,17
244,44
274,3
214,49
228,13
130,2
141,39
287,25
272,34
393,3
241,23
136,29
189,5
