click_id,banner_id,campaign_id
250000,359,26
250001,228,42
250002,138,16
250003,347,23
250004,454,30
250005,167,3
250006,430,15
250007,410,44
250008,109,37
250009,282,22
250010,319,2
250011,246,7
250012,480,11
250013,169,50
250014,212,27
250015,394,5
250016,290,4
250017,109,4
250018,223,11
250019,124,4
250020,258,45
250021,234,41
250022,497,41
250023,135,27
250024,341,18
250025,494,44
250026,329,21
250027,293,13
250028,132,6
250029,390,39
250030,394,49
250031,310,21
250032,338,46
250033,459,22
250034,396,32
250035,266,2
250036,382,25
250037,155,25
250038,327,50
250039,485,6
250040,159,12
250041,220,44
250042,292,43
250043,261,15
250044,470,38
250045,378,32
250046,469,24
250047,483,43
250048,437,2
250049,183,32
250050,439,48
250051,346,15
250052,269,31
250053,353,28
250054,145,23
250055,315,25
250056,102,41
250057,177,20
250058,358,24
250059,224,2
250060,229,3
250061,437,38
250062,148,25
250063,354,25
250064,424,28
250065,437,43
250066,206,15
250067,332,19
250068,309,39
250069,450,43
250070,482,19
250071,380,11
250072,102,1
250073,474,48
250074,172,16
250075,454,42
250076,161,23
250077,450,37
250078,433,38
250079,329,40
250080,320,9
250081,299,20
250082,316,16
250083,480,39
250084,431,34
250085,145,22
250086,325,50
250087,100,43
250088,449,14
250089,203,34
250090,315,41
250091,133,43
250092,311,6
250093,421,26
250094,335,25
250095,445,1
250096,266,33
250097,451,34
250098,134,22
250099,299,22
250100,421,22
250101,293,50
250102,468,17
250103,465,27
250104,468,6
250105,350,44
250106,104,39
250107,264,39
250108,229,31
250109,490,50
250110,142,27
250111,164,6
250112,369,4
250113,215,40
250114,455,32
250115,480,24
250116,206,16
250117,315,20
250118,273,7
250119,265,15
250120,308,17
250121,431,32
250122,446,11
250123,216,50
250124,393,3
250125,159,11
250126,424,1
250127,376,36
250128,190,1
250129,318,28
250130,142,33
250131,193,50
250132,355,31
250133,274,16
250134,321,39
250135,242,2
250136,327,22
250137,492,46
250138,172,47
250139,163,30
250140,426,40
250141,495,42
250142,342,11
250143,342,41
250144,119,35
250145,324,32
250146,192,41
250147,101,2
250148,402,18
250149,200,12
250150,472,50
250151,401,9
250152,474,22
250153,143,32
250154,458,22
250155,340,47
250156,371,10
250157,252,15
250158,371,16
250159,468,27
250160,378,22
250161,347,9
250162,346,18
250163,336,15
250164,169,42
250165,366,43
250166,164,30
250167,159,31
250168,499,10
250169,407,11
250170,361,34
250171,440,39
250172,257,43
250173,264,31
250174,112,6
250175,192,13
250176,415,48
250177,165,23
250178,403,31
250179,260,12
250180,479,47
