conversion_id,click_id,revenue
16000,250002,1.237032
16001,250012,1.200443
16002,250038,1.095496
16003,250049,0.519313
16004,250052,1.142044
16005,250055,1.369768
16006,250058,0.910626
16007,250077,1.010748
16008,250104,0.961446
16009,250113,0.96674
16010,250116,0.675216
16011,250136,1.306551
16012,250151,1.473504
16013,250157,1.076352
16014,250174,0.955586
16015,250182,0.988483
16016,250192,1.020061
16017,250197,0.431726
16018,250229,0.815197
16019,250237,0.534921
16020,250238,1.441527
16021,250249,1.377279
16022,250251,0.555669
16023,250310,0.959833
16024,250322,1.089617
16025,250338,0.996891
16026,250344,0.401398
16027,250348,0.62945
16028,250378,0.647483
16029,250387,1.039068
16030,250393,0.506372
16031,250394,1.323858
16032,250402,1.264766
16033,250414,1.137254
16034,250435,1.451857
16035,250443,0.497182
16036,250456,0.89907
16037,250459,1.055525
16038,250465,0.464164
16039,250468,1.339484
16040,250469,0.62218
16041,250470,0.480232
16042,250473,0.398584
16043,250483,0.774688
16044,250485,1.245564
16045,250489,1.461451
16046,250512,0.917909
16047,250520,1.332738
16048,250525,1.412944
16049,250534,0.545501
16050,250540,0.4152
16051,250552,1.27999
16052,250572,1.209661
16053,250574,1.083861
16054,250576,1.428118
16055,250577,0.341778
16056,250585,1.252803
16057,250591,0.408142
16058,250593,1.062073
16059,250600,0.4968
16060,250607,0.513879
16061,250629,0.603152
16062,250638,0.391651
16063,250652,1.096784
16064,250654,0.581659
16065,250655,0.745985
16066,250662,0.362164
16067,250664,0.883063
16068,250668,1.247894
16069,250693,1.328315
16070,250721,1.43613
16071,250740,0.504666
16072,250760,0.340614
16073,250782,1.404042
16074,250799,0.711738
16075,250814,0.631333
16076,250816,1.277466
16077,250820,0.355762
16078,250839,0.530074
16079,250841,1.3495
16080,250843,0.996558
16081,250849,0.813919
16082,250854,1.170824
16083,250858,0.834444
16084,250864,0.306956
16085,250872,0.315723
16086,250878,0.514063
16087,250891,1.438156
16088,250900,0.412838
16089,250916,0.875403
16090,250918,0.979785
16091,250924,1.421379
16092,250928,1.352159
16093,250995,0.717684
16094,251000,0.911165
16095,251006,0.787421
16096,251014,1.072754
16097,251024,0.922966
16098,251033,1.480664
16099,251035,1.294611
16100,251039,0.707508
16101,251040,1.110624
16102,251046,0.770613
16103,251049,1.300875
16104,251057,1.240139
16105,251082,0.779348
16106,251088,0.350662
16107,251093,1.149143
16108,251099,0.541722
16109,251101,0.588095
16110,251106,0.818817
16111,251115,0.576042
16112,251118,0.827209
16113,251127,0.602231
16114,251130,1.153182
16115,251140,1.264715
16116,251141,1.166149
16117,251177,0.975634
16118,251182,0.930645
16119,251198,0.38762
16120,251207,0.512178
16121,251210,0.603718
16122,251229,0.474291
16123,251256,1.122027
16124,251258,0.499967
16125,251265,1.477141
16126,251289,1.335578
16127,251291,0.609191
16128,251317,0.622213
16129,251331,1.017835
16130,251335,0.83025
16131,251336,0.487015
16132,251339,0.316414
16133,251346,1.37866
16134,251357,1.078879
16135,251363,0.432255
16136,251388,0.562506
16137,251389,0.818202
16138,251402,1.036942
16139,251404,1.304637
16140,251414,0.897627
16141,251418,0.8909
16142,251425,1.128792
16143,251465,0.897552
16144,251497,1.433744
16145,251514,0.629458
16146,251519,0.822046
16147,251522,1.372856
16148,251530,0.749697
16149,251536,1.218262
16150,251547,0.921833
16151,251557,0.940171
16152,251561,0.89174
16153,251562,0.513917
16154,251575,0.84712
16155,251580,0.832197
16156,251588,0.811173
16157,251602,1.302237
16158,251603,0.791664
16159,251615,1.282378
16160,251620,1.420146
16161,251631,0.938661
16162,251641,0.746394
16163,251644,0.704931
16164,251651,0.742998
16165,251658,0.621903
16166,251663,0.381921
16167,251683,1.45006
16168,251686,0.400959
16169,251700,0.524219
16170,251715,0.767043
16171,251719,0.81949
16172,251730,1.028079
16173,251737,0.818246
16174,251750,0.934448
16175,251751,1.285133
16176,251752,0.85638
16177,251760,1.154141
16178,251764,1.302781
16179,251765,0.872552
16180,251769,0.390458
16181,251772,1.357079
16182,251787,0.381606
16183,251793,0.33526
16184,251804,1.194898
16185,251815,0.67598
16186,251827,0.626623
16187,251839,0.724662
16188,251850,0.473557
16189,251872,0.859883
16190,251881,1.240451
16191,251891,0.67788
16192,251904,1.293728
16193,251918,0.655477
16194,251929,1.413573
16195,251942,1.333783
16196,251943,0.470836
16197,251983,1.215693
16198,252000,1.153864
16199,252008,1.440662
16200,252018,0.994038
16201,252023,0.755252
16202,252036,1.48198
16203,252041,0.919493
16204,252050,1.119009
16205,252065,1.020628
16206,252069,0.372593
16207,252072,1.39613
16208,252074,1.491429
16209,252083,0.441354
16210,252092,0.927149
16211,252094,1.340751
16212,252106,0.700596
16213,252116,0.819899
16214,252127,1.117803
16215,252133,0.923042
16216,252172,0.476183
16217,252173,0.625826
16218,252185,1.162508
16219,252189,1.127735
16220,252201,0.690497
16221,252205,0.62461
16222,252213,0.831388
16223,252215,1.374291
16224,252233,0.519215
16225,252234,0.320975
16226,252235,0.697743
16227,252254,0.951362
16228,252257,0.952698
16229,252267,1.183222
16230,252269,1.206295
16231,252284,1.043694
16232,252287,0.765347
16233,252289,0.616505
16234,252292,0.962376
16235,252300,1.299022
16236,252307,1.443759
16237,252313,0.462965
16238,252315,0.480839
16239,252333,1.221363
16240,252341,0.594469
16241,252369,1.396493
16242,252370,0.536368
16243,252397,0.436028
16244,252400,0.478062
16245,252409,0.74714
16246,252410,0.76643
16247,252413,1.324099
16248,252435,0.549613
16249,252436,0.975838
16250,252443,0.93899
16251,252470,1.091736
16252,252473,0.902123
16253,252500,0.758444
16254,252526,0.97266
16255,252534,0.621834
16256,252541,1.029304
16257,252557,0.649572
16258,252563,1.290912
16259,252568,0.336952
16260,252571,0.315687
16261,252587,1.130433
16262,252612,0.682401
16263,252614,0.883564
16264,252626,0.457895
16265,252634,0.650136
16266,252636,0.749594
16267,252641,0.825146
16268,252642,1.157405
16269,252654,0.966952
16270,252656,1.062348
16271,252658,1.364422
16272,252660,0.712652
16273,252667,1.330415
16274,252669,0.441157
16275,252672,0.975033
16276,252673,0.627837
16277,252674,1.42133
16278,252681,0.788017
