banner_id,campaign_id
230,9
451,14
375,46
125,24
202,1
134,6
385,17
433,6
194,1
468,38
458,22
172,37
434,35
314,19
149,26
187,31
405,47
329,33
372,15
372,40
127,49
114,15
413,47
193,33
240,4
234,6
153,2
458,25
269,22
499,10
334,43
465,18
455,23
383,17
341,40
206,20
248,21
473,50
137,24
110,46
346,17
479,27
249,40
340,28
419,15
103,20
442,35
310,21
249,13
213,11
159,18
330,13
389,17
275,36
242,18
195,14
216,18
202,36
172,20
217,29
368,48
174,24
151,27
272,2
361,48
157,1
376,23
391,50
164,46
163,21
313,28
350,31
415,11
176,30
337,36
176,2
315,31
389,22
444,3
304,19
320,41
290,32
193,38
446,32
456,33
337,24
201,22
170,17
445,13
181,33
231,38
318,9
243,49
362,35
294,9
269,34
237,44
161,28
282,39
428,6
289,47
411,13
401,17
307,37
171,15
410,11
312,21
258,48
202,25
154,46
271,43
211,21
126,30
344,45
355,33
197,17
167,26
325,1
323,12
101,42
178,37
442,15
241,25
268,18
182,50
192,29
288,38
318,17
455,6
498,11
319,47
266,39
322,18
469,2
186,5
407,31
377,23
103,3
152,10
445,8
151,28
159,40
209,30
278,38
476,36
134,50
465,4
359,47
284,10
293,11
488,28
173,35
364,48
271,13
284,46
410,11
251,43
443,4
307,38
121,39
341,40
379,23
426,44
437,40
426,17
393,33
411,36
371,39
177,8
270,34
448,42
184,4
418,1
320,26
420,25
254,23
319,40
162,18
477,38
250,10
231,17
216,20
137,39
257,42
274,50
155,34
116,37
268,30
496,29
381,28
473,47
140,10
336,29
220,3
136,23
313,30
149,31
207,42
207,4
370,36
401,4
412,20
266,46
417,16
359,15
218,49
496,29
407,7
387,14
498,50
332,14
200,32
460,10
460,28
362,10
259,4
337,25
117,29
132,49
264,17
203,34
302,32
338,42
279,18
119,7
237,47
303,8
273,24
439,10
295,41
186,33
194,5
232,10
415,27
144,5
359,17
229,40
137,15
123,29
214,1
348,14
454,43
353,10
436,7
415,18
221,4
410,4
212,33
499,46
227,16
246,48
448,2
478,9
423,47
193,11
309,40
146,31
424,18
152,28
335,8
232,44
368,10
389,15
379,47
330,37
478,26
117,7
189,13
160,44
391,18
324,32
445,34
185,35
221,21
232,43
415,13
310,24
413,29
274,35
336,16
371,47
348,36
243,41
303,43
406,22
153,50
212,19
383,6
162,19
322,36
273,18
429,11
304,47
145,48
318,15
358,13
366,39
307,36
115,47
201,16
118,46
170,21
210,41
474,15
448,29
467,21
226,8
477,3
195,31
271,48
290,15
462,1
352,20
388,27
314,35
220,29
294,42
456,47
173,4
321,19
282,12
331,4
200,31
343,15
109,5
184,21
461,27
309,39
425,4
421,16
372,12
344,7
371,48
345,36
104,12
154,50
289,20
468,42
246,28
447,17
298,50
497,40
390,25
234,3
218,26
272,4
232,37
308,42
115,3
477,49
170,11
273,34
465,15
422,29
332,41
358,39
240,25
201,3
398,26
185,2
455,37
101,44
430,4
438,44
166,20
441,16
327,16
316,3
316,45
189,31
488,18
453,4
301,15
147,1
359,17
401,6
479,22
198,16
219,34
394,36
331,5
480,21
378,35
363,13
232,40
311,41
190,21
418,18
273,28
148,3
253,36
417,46
349,20
432,41
298,48
100,8
289,48
230,37
345,34
181,43
406,13
490,31
334,1
354,34
259,33
238,25
230,17
420,27
218,33
324,49
402,21
224,47
222,23
175,19
210,37
382,34
193,20
349,15
479,46
176,35
433,31
131,32
342,50
413,15
295,36
204,37
222,46
177,13
427,26
483,35
322,20
479,35
132,18
316,16
277,18
392,25
477,11
484,24
230,26
406,31
420,23
484,36
131,38
188,14
102,33
215,10
495,24
186,32
387,13
331,4
144,28
335,28
494,9
195,34
224,21
109,42
416,17
107,23
249,46
314,15
224,29
425,30
422,50
288,15
498,8
300,14
170,42
350,22
183,1
387,47
419,17
331,39
196,36
356,8
374,8
191,48
472,33
152,1
452,43
298,47
265,9
480,8
302,18
121,23
143,7
381,23
411,30
282,34
432,33
388,45
198,2
455,17
245,39
202,35
312,16
127,41
269,6
204,30
220,46
165,48
191,22
201,47
342,50
320,29
183,35
200,25
166,11
143,17
474,10
440,6
258,26
122,41
318,2
233,1
373,26
377,7
191,36
335,46
