conversion_id,click_id,revenue
11000,190006,0.943963
11001,190019,0.647544
11002,190041,0.757651
11003,190046,1.158748
11004,190057,1.230856
11005,190058,1.414729
11006,190078,0.408967
11007,190107,1.068585
11008,190108,1.36156
11009,190145,1.162611
11010,190164,0.424675
11011,190173,1.293962
11012,190180,1.262187
11013,190181,1.183244
11014,190200,1.272198
11015,190221,0.878882
11016,190241,1.494134
11017,190244,1.463122
11018,190256,0.647765
11019,190274,0.721968
11020,190276,0.878798
11021,190295,0.992412
11022,190298,0.691065
11023,190311,1.040337
11024,190321,1.494181
11025,190350,1.417506
11026,190351,0.848094
11027,190361,1.083671
11028,190368,1.436235
11029,190370,0.305845
11030,190378,0.89034
11031,190394,1.014171
11032,190413,0.72599
11033,190429,0.881607
11034,190458,1.113731
11035,190460,0.716372
11036,190467,0.525083
11037,190472,0.800293
11038,190488,1.348182
11039,190506,0.901875
11040,190524,0.591065
11041,190546,1.291867
11042,190567,0.95637
11043,190591,0.502299
11044,190600,1.18216
11045,190601,0.822319
11046,190604,1.469035
11047,190609,1.418923
11048,190619,0.549398
11049,190627,0.866033
11050,190663,0.883228
11051,190669,1.10887
11052,190684,1.154067
11053,190695,0.991276
11054,190701,0.309863
11055,190707,1.480038
11056,190723,0.359661
11057,190770,0.669542
11058,190775,1.163199
11059,190777,1.200768
11060,190782,1.131175
11061,190808,0.933024
11062,190810,0.884102
11063,190819,0.723201
11064,190829,0.319361
11065,190830,1.263782
11066,190836,0.705903
11067,190842,0.738216
11068,190851,1.0521
11069,190857,0.644744
11070,190861,0.432326
11071,190865,1.115495
11072,190869,0.921742
11073,190872,1.4958
11074,190876,1.40772
11075,190891,0.308395
11076,190893,1.197188
11077,190922,0.680454
11078,190929,1.405171
11079,190952,0.457121
11080,190955,1.250088
11081,190967,1.073435
11082,190973,0.49194
11083,190997,1.189722
11084,191001,0.488268
11085,191036,1.44578
11086,191042,0.370595
11087,191047,0.513295
11088,191060,1.115091
11089,191068,1.351241
11090,191070,0.951937
11091,191084,0.514534
11092,191094,0.460318
11093,191097,0.963618
11094,191108,1.162261
11095,191126,1.416723
11096,191129,1.000048
11097,191131,0.554474
11098,191139,1.269067
11099,191141,0.414758
11100,191164,0.941793
11101,191169,0.52791
11102,191184,0.466782
11103,191186,1.358825
11104,191222,1.141788
11105,191231,0.368081
11106,191233,0.791943
11107,191234,0.773343
11108,191244,1.160372
11109,191246,0.323735
11110,191254,0.570574
11111,191258,0.543833
11112,191277,0.699557
11113,191296,0.531989
11114,191303,1.284143
11115,191322,0.959622
11116,191329,0.908791
11117,191345,0.497147
11118,191358,1.263286
11119,191373,0.51339
11120,191395,1.102249
11121,191405,1.49473
11122,191420,0.656709
11123,191423,0.900835
11124,191426,0.565386
11125,191433,1.342909
11126,191448,0.952319
11127,191450,1.073508
11128,191465,1.006583
11129,191502,0.362562
11130,191506,0.890986
11131,191525,1.253391
11132,191572,0.432229
11133,191584,0.556785
11134,191588,0.817442
11135,191595,1.197368
11136,191628,0.880906
11137,191681,0.554213
11138,191683,1.357797
11139,191684,1.118467
11140,191686,0.588703
11141,191704,1.031832
11142,191708,1.401324
11143,191734,1.296973
11144,191751,0.852037
11145,191770,0.538432
11146,191822,1.323862
11147,191826,0.360811
11148,191827,1.026961
11149,191843,0.701154
11150,191860,1.265061
11151,191862,0.941903
11152,191875,0.890373
11153,191877,0.838272
11154,191889,0.426319
11155,191895,0.823885
11156,191914,0.859633
11157,191921,1.26759
