click_id,banner_id,campaign_id
150000,201,50
150001,222,35
150002,371,40
150003,354,35
150004,157,40
150005,207,23
150006,461,20
150007,475,37
150008,336,35
150009,195,21
150010,154,9
150011,326,31
150012,173,47
150013,347,17
150014,139,32
150015,173,38
150016,332,38
150017,122,30
150018,102,16
150019,411,48
150020,318,18
150021,475,5
150022,286,8
150023,107,12
150024,408,45
150025,232,15
150026,400,44
150027,340,17
150028,317,23
150029,346,36
150030,309,15
150031,299,31
150032,490,43
150033,276,1
150034,377,18
150035,397,35
150036,385,17
150037,269,41
150038,270,13
150039,113,29
150040,231,26
150041,369,46
150042,487,27
150043,358,6
150044,272,43
150045,484,5
150046,210,34
150047,223,12
150048,289,30
150049,158,23
150050,343,25
150051,106,19
150052,262,32
150053,185,36
150054,433,26
150055,249,14
150056,251,17
150057,228,49
150058,335,25
150059,346,27
150060,225,9
150061,301,33
150062,317,19
150063,196,24
150064,482,4
150065,405,6
150066,428,18
150067,168,5
150068,153,16
150069,476,46
150070,105,38
150071,314,41
150072,454,27
150073,192,9
150074,359,15
150075,473,1
150076,257,15
150077,469,29
150078,420,48
150079,223,45
150080,195,39
150081,133,37
150082,129,7
150083,153,23
150084,218,15
150085,254,22
150086,220,14
150087,320,35
150088,435,33
150089,168,11
150090,168,39
150091,283,37
150092,175,5
150093,300,34
150094,441,5
150095,297,11
150096,294,11
150097,161,41
150098,262,37
150099,215,44
150100,165,15
150101,482,45
150102,383,15
150103,152,25
150104,270,6
150105,241,2
150106,500,20
150107,183,25
150108,361,36
150109,463,5
150110,156,35
150111,278,19
150112,311,39
150113,302,6
150114,181,24
150115,154,11
150116,267,11
150117,356,17
150118,224,12
150119,351,34
150120,368,33
150121,489,48
150122,461,6
150123,306,10
150124,379,41
150125,269,42
150126,171,2
150127,300,41
150128,402,10
150129,215,10
150130,341,21
150131,116,9
150132,279,13
150133,329,21
150134,477,23
150135,114,1
150136,175,13
150137,286,1
150138,181,22
150139,438,40
150140,219,32
150141,377,11
150142,279,19
150143,275,11
150144,449,23
150145,348,46
150146,462,35
150147,386,29
150148,458,27
150149,199,49
150150,121,21
150151,337,40
150152,459,45
150153,275,49
150154,154,12
150155,403,3
150156,395,50
150157,388,32
150158,445,10
150159,468,30
150160,467,13
150161,361,3
150162,335,14
150163,491,6
150164,457,19
150165,440,22
150166,453,23
150167,176,18
150168,444,42
150169,469,22
150170,196,20
150171,209,43
150172,321,20
150173,305,5
150174,301,20
150175,352,20
150176,144,28
150177,379,20
150178,113,46
150179,219,8
150180,300,3
150181,242,22
150182,123,48
150183,455,29
150184,218,15
150185,463,14
150186,441,26
150187,161,20
150188,137,8
150189,172,47
150190,429,31
150191,261,44
150192,367,46
150193,397,25
150194,288,3
150195,491,46
150196,271,41
150197,219,20
150198,362,20
150199,490,41
150200,243,25
150201,207,5
150202,421,48
150203,462,33
150204,255,33
150205,112,22
150206,207,48
150207,243,49
150208,493,46
150209,415,3
150210,154,23
150211,196,44
150212,413,15
150213,481,29
150214,400,38
150215,254,2
150216,138,29
150217,409,4
150218,407,34
150219,285,50
150220,217,22
150221,308,7
150222,372,23
150223,118,10
150224,236,25
150225,157,37
150226,339,7
150227,217,18
150228,221,2
150229,234,13
150230,122,36
150231,300,44
150232,118,47
150233,357,42
150234,141,50
150235,177,50
150236,469,36
150237,227,35
150238,262,2
150239,152,31
150240,103,43
150241,252,5
150242,488,37
150243,223,41
150244,199,46
